Umidade,Pressao,VelVento,TempMax,TempMin,Chuva
57,"890,7","3,1","24,7","15,5",0
73,893,"3,1","24,7","15,5",0
41,"889,9","3,1","24,7","15,5",0
64,"891,7","3,1","25,1",15,0
74,"893,1","3,1","25,1",15,0
49,"890,1","3,1","25,1",15,0
73,"891,6","2,1",26,15,0
78,"894,2","2,1",26,15,0
40,891,0,26,15,0
73,"891,5",0,26,"15,3",0
77,893,"3,1",26,"15,3",0
41,"889,2","3,1",26,"15,3",0
68,"887,5",1,26,"14,1",0
73,"891,8","3,1",26,"14,1",0
37,"888,6",1,26,"14,1",0
66,"890,6",1,"25,6",15,0
87,"892,4","3,1","25,6",15,0
43,"889,4","5,1","25,6",15,0
75,"890,8",0,"25,6","15,7",0
74,"893,1","2,1","25,6","15,7",0
45,"890,3","2,1","25,6","15,7",0
68,"891,4","2,1","26,2","16,3",0
74,"892,2",1,"26,2","16,3",0
43,"889,3","2,1","26,2","16,3",0
65,"890,5",1,"26,2","14,7",0
66,"891,5","3,1","26,2","14,7",0
43,"888,6","2,1","26,2","14,7",0
63,"890,7","3,1","26,5","14,1",0
71,"891,1","2,1","26,5","14,1",0
43,"888,6",1,"26,5","14,1",0
65,"889,9",1,"26,6","13,8",0
69,"891,4",1,"26,6","13,8",0
45,"888,6",1,"26,6","13,8",0
70,"890,7",1,"26,1","13,8",0
54,"891,4","3,1","26,1","13,8",0
30,"888,7","3,1","26,1","13,8",0
54,"889,9","3,1","26,3","16,1",0
65,"889,8","3,1","26,3","16,1",0
44,"888,5","3,1","26,3","16,1",0
68,"889,7","3,1","26,8","16,2",0
70,"892,2","3,1","26,8","16,2",0
36,889,"3,1","26,8","16,2",0
59,"890,6",1,"25,9","14,6",0
77,"893,3","3,1","25,9","14,6",0
50,"890,2","3,1","25,9","14,6",0
70,"890,8","3,1","24,6","13,4",0
66,"890,5","2,1","24,6","13,4",0
40,"889,5","4,1","24,6","13,4",0
55,889,"2,1","26,1","11,6",0
60,"889,5","2,1","26,1","11,6",0
31,"887,1",1,"26,1","11,6",0
55,"888,3",1,"26,5","15,1",0
49,"889,4","5,1","26,5","15,1",0
33,"886,8","3,1","26,5","15,1",0
76,"887,9",0,"26,5","12,2",0
64,"890,3",0,"26,5","12,2",0
43,"887,4",1,"26,5","12,2",0
68,"889,1","2,1","26,2","14,5",0
66,"890,9","3,1","26,2","14,5",0
41,"887,7","3,1","26,2","14,5",0
59,"888,6","2,1","26,5","12,8",0
66,890,"5,1","26,5","12,8",0
40,"886,9","3,1","26,5","12,8",0
62,"888,7",0,"25,9",15,0
66,"890,3","2,1","25,9",15,0
39,"887,5","3,1","25,9",15,0
57,"888,2",1,"26,5","11,8",0
53,"890,2","2,1","26,5","11,8",0
38,887,1,"26,5","11,8",0
69,"888,6",1,"27,1","14,7",0
58,"890,5",1,"27,1","14,7",0
36,"887,7",0,"27,1","14,7",0
54,"889,2",0,"26,7","12,9",0
45,"891,1","3,1","26,7","12,9",0
37,"888,2","3,1","26,7","12,9",0
54,"889,1",0,"27,4","13,2",0
48,"890,2","2,1","27,4","13,2",0
35,"887,4","3,1","27,4","13,2",0
62,"888,2",0,"27,5","12,2",0
57,"889,7",0,"27,5","12,2",0
31,"885,9",0,"27,5","12,2",0
67,"886,7",0,"27,9",13,0
55,"888,5",1,"27,9",13,0
32,"886,2","2,1","27,9",13,0
70,"888,3",1,"27,7",13,0
52,"890,2",1,"27,7",13,0
30,"887,3","2,1","27,7",13,0
62,"887,3",0,28,"12,4",0
46,"889,8",1,28,"12,4",0
25,"886,2",0,28,"12,4",0
45,"888,1",0,"27,8","11,9",0
41,"890,1",1,"27,8","11,9",0
31,"887,9",1,"27,8","11,9",0
58,"888,6",1,"26,2",12,0
52,"891,1","2,1","26,2",12,0
30,"887,3",2,"26,2",12,0
62,"890,3",1,25,"13,1",0
71,"890,2","4,1",25,"13,1",0
46,887,"2,1",25,"13,1",0
58,"888,6",1,26,13,0
64,"890,1",1,26,13,0
39,"886,2",1,26,13,0
55,"888,7",1,"26,2",12,0
60,"890,1","3,1","26,2",12,0
41,"887,7",1,"26,2",12,0
56,"890,3",1,"26,7","11,9",0
57,"891,8","2,1","26,7","11,9",0
37,"889,5","2,1","26,7","11,9",0
55,"889,9",1,"28,1","13,9",0
56,"890,3",1,"28,1","13,9",0
28,"887,4",1,"28,1","13,9",0
54,"888,7",0,"28,9","13,2",0
43,"889,8",1,"28,9","13,2",0
27,"886,9","3,1","28,9","13,2",0
55,"887,3",0,29,"13,5",0
43,"888,6","3,1",29,"13,5",0
33,"885,1",1,29,"13,5",0
46,"886,5",1,"29,1","13,9",0
44,"888,5","2,1","29,1","13,9",0
29,885,1,"29,1","13,9",0
61,"888,1",1,"29,1","14,3",0
42,"890,9",1,"29,1","14,3",0
32,"887,1",1,"29,1","14,3",0
40,"891,1",1,"27,7","13,4",0
60,"893,5","3,1","27,7","13,4",0
36,"888,9","3,1","27,7","13,4",0
53,"891,9",1,"24,7","13,3",0
58,"892,2","3,1","24,7","13,3",0
39,889,"2,1","24,7","13,3",0
49,"891,3",1,"24,5","11,7",0
58,"892,6","4,1","24,5","11,7",0
38,"890,6","2,1","24,5","11,7",0
55,"891,3",1,"24,7","10,2",0
52,"893,3","4,1","24,7","10,2",0
37,"890,7",1,"24,7","10,2",0
56,"892,7","2,1","25,9","11,7",0
55,"894,5","7,2","25,9","11,7",0
37,"890,7","3,1","25,9","11,7",0
53,"893,4","5,1","25,8","11,9",0
60,"893,9","2,1","25,8","11,9",0
34,"891,3",1,"25,8","11,9",0
55,"891,9",0,"26,4","13,9",0
49,"893,1","2,1","26,4","13,9",0
31,"889,8","3,1","26,4","13,9",0
60,"891,9",1,"25,9","12,8",0
53,"893,8","5,1","25,9","12,8",0
37,"891,3","3,1","25,9","12,8",0
60,"894,1",0,"25,8","11,8",0
58,"892,3","2,1","25,8","11,8",0
32,"889,9","3,1","25,8","11,8",0
49,"891,3","2,1","24,9","13,6",0
60,"892,5","3,1","24,9","13,6",0
33,"889,9","3,1","24,9","13,6",0
51,"890,5",1,25,15,0
46,"892,9","5,1",25,15,0
36,"890,7",0,25,15,0
57,"892,1","3,1","25,8","15,1",0
47,"892,2","2,1","25,8","15,1",0
30,"890,3","3,1","25,8","15,1",0
48,"891,4",1,"26,1","14,9",0
52,"893,3","4,1","26,1","14,9",0
32,"890,7","3,1","26,1","14,9",0
44,"892,6","2,1","25,7","10,9",0
52,"894,5","3,1","25,7","10,9",0
30,"890,5","5,1","25,7","10,9",0
45,"891,1","5,1",27,10,0
51,891,1,27,10,0
27,"887,8","2,1",27,10,0
45,"889,7",1,"26,3","11,8",0
62,"891,9","3,1","26,3","11,8",0
42,"889,7","2,1","26,3","11,8",0
60,"891,5",0,"26,8","13,8",0
56,"893,3","3,1","26,8","13,8",0
35,"890,3",0,"26,8","13,8",0
50,"891,8",0,"29,1",13,0
44,"891,9","3,1","29,1",13,0
29,"888,9",1,"29,1",13,0
55,"890,7",0,29,"18,5",0
47,"891,9","2,1",29,"18,5",0
30,"889,4","2,1",29,"18,5",0
40,"890,6","2,1","27,5","15,8",0
46,"892,5",5,"27,5","15,8",0
30,"890,1",7,"27,5","15,8",0
50,892,0,"26,1","14,8",0
70,"892,1","5,1","26,1","14,8",0
31,"888,9","2,6","26,1","14,8",0
55,"890,3","3,1","24,8","14,9",0
82,"893,1","5,1","24,8","14,9",0
52,"889,8","3,1","24,8","14,9",0
57,"890,2","2,1","25,7","14,6",0
86,"891,8","3,1","25,7","14,6",0
37,"889,3","3,1","25,7","14,6",0
51,"890,6","5,1","26,3","14,8",0
61,"890,5","2,1","26,3","14,8",0
34,"888,3","3,1","26,3","14,8",0
53,"889,5","2,1","26,2","14,8",0
64,,"5,1","26,2","14,8",0
34,"889,8","4,1","26,2","14,8",0
48,"890,6","3,1","25,9","15,9",0
70,891,"5,1","25,9","15,9",0
36,"887,7","5,1","25,9","15,9",0
45,"889,4","3,1","26,5","11,1",0
50,"890,3","3,1","26,5","11,1",0
32,"886,7","3,1","26,5","11,1",0
53,"888,2",1,"27,7","12,2",0
43,"888,9",0,"27,7","12,2",0
29,"886,2","2,1","27,7","12,2",0
57,"888,1","4,1","28,9","13,5",0
42,"889,4",1,"28,9","13,5",0
25,"886,6",0,"28,9","13,5",0
52,"887,7",0,"25,2","15,2",0
68,"888,2",1,"25,2","15,2",0
45,"885,9","2,1","25,2","15,2",0
67,"887,9","2,1",30,"10,8",0
49,"889,1",1,30,"10,8",0
25,"885,9","4,1",30,"10,8",0
57,"889,1",1,"29,2","11,7",0
29,"890,3",1,"29,2","11,7",0
17,"888,3","3,1","29,2","11,7",0
28,"889,5",1,"28,8",10,0
29,"890,6",1,"28,8",10,0
18,"887,7",1,"28,8",10,0
26,"888,6",1,"29,3","12,6",0
41,"891,4","3,1","29,3","12,6",0
33,"888,5","5,1","29,3","12,6",0
50,"890,1","3,1","29,8","15,1",0
62,"891,3","3,1","29,8","15,1",0
32,"888,6","2,1","29,8","15,1",0
46,"889,9",1,"29,7","16,5",0
56,"892,3","3,1","29,7","16,5",0
31,"888,7",0,"29,7","16,5",0
43,"890,1",0,30,"15,6",0
45,"890,2","3,1",30,"15,6",0
26,"887,3","3,1",30,"15,6",0
36,"888,5",1,"29,4","13,5",0
36,"891,6","5,1","29,4","13,5",0
20,"888,8","3,1","29,4","13,5",0
29,890,"3,1","29,7","14,1",0
33,"891,7","3,1","29,7","14,1",0
16,"888,2","3,1","29,7","14,1",0
28,"890,4","3,1",30,"14,6",0
38,"892,2",0,30,"14,6",0
20,"889,3",1,30,"14,6",0
33,"889,4",1,,"15,1",0
22,"887,5","3,1",,"15,1",0
22,"887,5","3,1",,"15,1",0
17,"889,3",1,"30,4","13,9",0
37,"889,8","5,1","30,4","13,9",0
19,"886,9",1,"30,4","13,9",0
34,"889,1",0,"31,1","15,3",0
40,"889,3","3,1","31,1","15,3",0
24,"886,2",1,"31,1","15,3",0
37,"887,1",0,31,"15,8",0
36,"890,3","3,1",31,"15,8",0
21,"887,7","3,1",31,"15,8",0
51,"888,2",1,"30,5","16,2",0
50,"891,2",0,"30,5","16,2",0
26,"888,4",0,"30,5","16,2",0
46,"890,2","5,1","28,3","13,4",0
77,"890,5","2,1","28,3","13,4",0
33,"887,3","2,1","28,3","13,4",0
51,"889,3",1,"29,3","14,5",0
53,"892,1","3,1","29,3","14,5",0
29,"889,4","2,1","29,3","14,5",0
38,"890,5","2,1","28,1","16,9",0
58,"892,2","4,1","28,1","16,9",0
34,"889,3","4,1","28,1","16,9",0
45,"891,4","3,1","27,9","15,6",0
67,"894,1","3,1","27,9","15,6",0
33,"892,2","3,1","27,9","15,6",0
47,"892,7","3,1","27,7","15,4",0
54,"893,5","3,1","27,7","15,4",0
31,"889,5","2,1","27,7","15,4",0
41,"890,5","2,1","30,8",13,0
38,"891,3","2,1","30,8",13,0
19,"887,8","2,1","30,8",13,0
27,"890,6","2,1","30,8","16,1",0
34,"891,5","4,1","30,8","16,1",0
20,"888,1",1,"30,8","16,1",0
33,"890,1",1,"31,1","13,4",0
25,"889,1","2,1","31,1","13,4",0
16,"885,9","4,1","31,1","13,4",0
23,"887,5","2,1","32,5","14,8",0
26,"889,5","3,1","32,5","14,8",0
13,"886,4","3,1","32,5","14,8",0
36,"888,7",0,"32,8","14,9",0
21,"889,4",1,"32,8","14,9",0
15,"886,6","2,1","32,8","14,9",0
30,"888,9",0,"32,5","16,5",0
27,"890,5","3,1","32,5","16,5",0
17,"887,3","3,1","32,5","16,5",0
28,"888,3","3,1","32,3",19,0
29,"888,3","3,1","32,3",19,0
28,"885,5",0,"32,3",19,0
36,"888,3","3,1","30,3","19,6",0
35,"890,3","5,1","30,3","19,6",0
15,"887,6","7,2","30,3","19,6",0
34,"889,3","5,1",30,"16,9",0
47,"891,7","4,1",30,"16,9",0
18,"888,9","4,1",30,"16,9",0
31,"890,5","5,1",30,"17,8",0
39,"890,3","5,1",30,"17,8",0
16,"887,1","3,1",30,"17,8",0
30,889,"2,1",30,"18,8",0
40,"890,7","4,1",30,"18,8",0
28,"887,3","3,1",30,"18,8",0
41,"888,3",1,"29,3","18,2",0
37,"890,2","3,1","29,3","18,2",0
26,"886,6","3,1","29,3","18,2",0
36,"889,1",1,"31,1",17,0
43,"890,9","5,1","31,1",17,0
23,"886,4",1,"31,1",17,0
38,889,"2,1","31,8","15,8",0
41,"890,3","2,1","31,8","15,8",0
26,"887,3","2,1","31,8","15,8",0
36,"888,5","3,1","31,1","19,4",0
34,891,"3,1","31,1","19,4",0
25,"886,8","3,1","31,1","19,4",0
32,"888,5","3,1","32,1","16,7",0
36,"890,2","3,1","32,1","16,7",0
12,"886,1","3,1","32,1","16,7",0
25,"888,3","2,1","33,2","16,8",0
33,"890,3","2,1","33,2","16,8",0
22,"887,1","2,1","33,2","16,8",0
38,"888,9",0,"33,1",19,0
36,"889,3","3,1","33,1",19,0
24,"885,4",1,"33,1",19,0
37,"886,6",1,"31,3","20,1",0
46,"890,2","5,1","31,3","20,1",0
27,"887,1",1,"31,3","20,1",0
49,"888,5","5,1","31,3","19,5",0
52,"890,3","3,1","31,3","19,5",0
24,"885,9","5,1","31,3","19,5",0
41,"887,5","3,1","31,3","20,1",0
44,"888,5","4,1","31,3","20,1",0
25,"885,3","3,1","31,3","20,1",0
34,"886,9",1,"32,8","16,5",0
34,"887,9",1,"32,8","16,5",0
19,"884,7",1,"32,8","16,5",0
32,"886,2",0,"33,4","22,3",0
32,"888,2","2,1","33,4","22,3",0
18,"885,1",1,"33,4","22,3",0
29,"886,2",0,"33,5","19,1",0
35,"887,9",0,"33,5","19,1",0
22,"884,2",1,"33,5","19,1",0
31,"886,6","2,1","33,3","16,5",0
36,"888,6",0,"33,3","16,5",0
25,"885,1","5,1","33,3","16,5",0
33,"887,7",1,"33,1","21,9",0
38,888,"5,1","33,1","21,9",0
23,"884,1",1,"33,1","21,9",0
26,"885,4","2,1","32,9","20,8",0
38,"888,1","2,1","32,9","20,8",0
24,"885,1","2,1","32,9","20,8",0
26,"886,1","2,1","33,8","18,3",0
31,"887,8","5,1","33,8","18,3",0
25,884,0,"33,8","18,3",0
45,"885,8",0,35,"19,2",0
31,"887,3",1,35,"19,2",0
23,"884,3",0,35,"19,2",0
31,"885,9",1,"31,9","20,6",0
52,"889,3","4,1","31,9","20,6",0
27,"885,4","3,1","31,9","20,6",0
44,"887,3","2,1","31,5","19,1",0
55,889,"5,1","31,5","19,1",0
20,"885,1","3,1","31,5","19,1",0
30,"887,7","3,1","31,9","20,7",0
40,889,"5,1","31,9","20,7",0
23,"884,7","3,1","31,9","20,7",0
37,"886,1",0,"33,3","16,3",0
34,887,"2,1","33,3","16,3",0
17,"883,4","3,1","33,3","16,3",0
28,"884,3",1,"34,9","17,6",0
28,887,"5,1","34,9","17,6",0
19,"883,8","3,1","34,9","17,6",0
29,"885,8","3,1","36,1","22,5",0
21,"886,6","2,1","36,1","22,5",0
17,"883,5","2,1","36,1","22,5",0
28,"884,3",0,"35,8","21,4",0
28,"887,4","2,1","35,8","21,4",0
21,"883,9",1,"35,8","21,4",0
28,"884,6",0,36,"21,4",0
35,"887,5","2,1",36,"21,4",0
22,"883,3","2,1",36,"21,4",0
41,"884,9",0,"34,6",21,0
41,"886,1","3,1","34,6",21,0
33,"882,9","2,1","34,6",21,0
58,"884,9","2,1","31,3","21,3",0
59,"887,3","2,1","31,3","21,3",0
46,"885,1",0,"31,3","21,3",0
62,"886,2",0,"32,5","20,9",0
60,"888,1",1,"32,5","20,9",0
34,"884,3","2,1","32,5","20,9",0
60,"886,3",0,"27,4","19,1","1,2"
82,"887,3",1,"27,4","19,1","1,2"
58,"884,6",1,"27,4","19,1","1,2"
70,"886,3",0,"31,3","20,1",0
62,"887,1","3,1","31,3","20,1",0
41,"883,7",1,"31,3","20,1",0
94,"887,7",0,"29,3","19,1","7,1"
80,"889,9",1,"29,3","19,1","7,1"
49,887,1,"29,3","19,1","7,1"
77,"889,1","2,1","32,4",20,"0,1"
64,"891,3",1,"32,4",20,"0,1"
45,"888,3","3,1","32,4",20,"0,1"
59,"890,5",0,"31,1","20,9",0
70,"891,4","4,1","31,1","20,9",0
39,"886,6","3,1","31,1","20,9",0
96,"888,3",0,"22,6","18,3","66,7"
89,"889,9",1,"22,6","18,3","66,7"
87,"886,7",0,"22,6","18,3","66,7"
93,"887,4",1,"26,7",19,1
73,"888,5",1,"26,7",19,1
96,"884,9",1,"26,7",19,1
94,"887,4",0,"27,1","18,2","39,9"
68,"887,4",1,"27,1","18,2","39,9"
95,"885,9",1,"27,1","18,2","39,9"
96,"887,1",0,"27,5","17,8","33,8"
78,"886,3","3,1","27,5","17,8","33,8"
80,"882,7","2,1","27,5","17,8","33,8"
96,885,0,"26,9","18,3","34,1"
78,"885,3","2,1","26,9","18,3","34,1"
92,"882,7","2,1","26,9","18,3","34,1"
93,"883,3",0,"25,5","18,6","3,2"
80,"884,9","5,1","25,5","18,6","3,2"
60,"882,8","5,1","25,5","18,6","3,2"
80,"885,2",0,"27,7","19,7","1,2"
87,"886,2",1,"27,7","19,7","1,2"
52,885,"2,1","27,7","19,7","1,2"
93,"889,1",0,"28,5","19,2","1,7"
75,"889,5",1,"28,5","19,2","1,7"
63,"885,9","2,1","28,5","19,2","1,7"
96,"888,2",0,"29,5","18,9","46,4"
71,"887,9","5,1","29,5","18,9","46,4"
78,"885,8","5,1","29,5","18,9","46,4"
91,"885,4",1,"28,7",20,"1,5"
65,"886,3",1,"28,7",20,"1,5"
72,"883,1",1,"28,7",20,"1,5"
87,"884,9",0,"25,7","19,1","13,2"
93,"887,8","2,1","25,7","19,1","13,2"
65,"884,6","2,1","25,7","19,1","13,2"
90,"887,1",0,30,"19,5","22,8"
67,"887,2",0,30,"19,5","22,8"
57,"884,4",1,30,"19,5","22,8"
73,"886,9",0,"28,1","19,9",8
83,"889,3","2,1","28,1","19,9",8
53,"885,3","2,1","28,1","19,9",8
79,"887,5",0,"29,1","20,5",0
87,"889,3","4,1","29,1","20,5",0
53,"885,3","2,1","29,1","20,5",0
71,887,1,"26,8","17,8","4,8"
80,"888,2",1,"26,8","17,8","4,8"
56,"884,8",0,"26,8","17,8","4,8"
78,"886,6","3,1","24,5","19,2","2,5"
90,"886,2",1,"24,5","19,2","2,5"
71,"883,5","2,1","24,5","19,2","2,5"
82,885,0,"23,2",17,"2,4"
81,"886,5",1,"23,2",17,"2,4"
72,"883,8","2,1","23,2",17,"2,4"